TOPSIS Analysis:
     Distance      Cost  Positive Ideal Distance  Negative Ideal Distance  Comprehensive Score Index   Rank
0    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
1    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
2    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
3    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
4    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
5    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
6    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
7    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
8    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
9    0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
10   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
11   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
12   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
13   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
14   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
15   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
16   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
17   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
18   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
19   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
20   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
21   0.000000  1.000000                 0.807495                 1.000000                   0.553252  249.5
22   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
23   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
24   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
25   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
26   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
27   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
28   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
29   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
30   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
31   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
32   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
33   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
34   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
35   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
36   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
37   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
38   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
39   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
40   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
41   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
42   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
43   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
44   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
45   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
46   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
47   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
48   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
49   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
50   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
51   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
52   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
53   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
54   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
55   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
56   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
57   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
58   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
59   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
60   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
61   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
62   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
63   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
64   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
65   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
66   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
67   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
68   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
69   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
70   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
71   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
72   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
73   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
74   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
75   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
76   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
77   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
78   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
79   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
80   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
81   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
82   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
83   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
84   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
85   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
86   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
87   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
88   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
89   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
90   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
91   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
92   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
93   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
94   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
95   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
96   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
97   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
98   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
99   0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
100  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
101  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
102  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
103  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
104  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
105  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
106  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
107  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
108  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
109  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
110  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
111  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
112  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
113  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
114  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
115  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
116  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
117  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
118  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
119  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
120  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
121  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
122  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
123  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
124  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
125  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
126  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
127  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
128  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
129  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
130  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
131  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
132  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
133  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
134  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
135  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
136  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
137  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
138  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
139  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
140  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
141  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
142  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
143  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
144  0.532421  0.678135                 0.252086                 0.862171                   0.773763   62.0
145  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
146  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
147  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
148  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
149  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
150  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
151  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
152  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
153  1.000000  0.000000                 0.606719                 1.000000                   0.622386  181.0
